# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
2.3501733170e+00    2.5635038439e-05
2.3500521587e+00    2.6341998161e-05
2.3499310129e+00    2.7078551523e-05
2.3498098796e+00    2.7846370133e-05
2.3496887587e+00    2.8647245058e-05
2.3495676504e+00    2.9483097194e-05
2.3494465545e+00    3.0355988693e-05
2.3493254711e+00    3.1268135592e-05
2.3492044002e+00    3.2221921758e-05
2.3490833417e+00    3.3219914344e-05
2.3489622958e+00    3.4264880914e-05
2.3488412623e+00    3.5359808463e-05
2.3487202412e+00    3.6507924572e-05
2.3485992327e+00    3.7712720977e-05
2.3484782366e+00    3.8977979857e-05
2.3483572530e+00    4.0307803229e-05
2.3482362819e+00    4.1706645855e-05
2.3481153232e+00    4.3179352152e-05
2.3479943769e+00    4.4731197677e-05
2.3478734432e+00    4.6367935836e-05
2.3477525219e+00    4.8095850582e-05
2.3476316130e+00    4.9921815993e-05
2.3475107166e+00    5.1853363770e-05
2.3473898327e+00    5.3898759879e-05
2.3472689612e+00    5.6067091775e-05
2.3471481021e+00    5.8368367890e-05
2.3470272555e+00    6.0813631408e-05
2.3469064213e+00    6.3415090693e-05
2.3467855996e+00    6.6186269192e-05
2.3466647903e+00    6.9142178220e-05
2.3465439935e+00    7.2299516640e-05
2.3464232091e+00    7.5676902333e-05
2.3463024371e+00    7.9295141330e-05
2.3461816775e+00    8.3177541697e-05
2.3460609304e+00    8.7350280863e-05
2.3459401957e+00    9.1842836922e-05
2.3458194735e+00    9.6688496878e-05
2.3456987636e+00    1.0192495777e-04
2.3455780662e+00    1.0759504040e-04
2.3454573812e+00    1.1381687621e-04
2.3453367086e+00    1.2050821452e-04
2.3452160485e+00    1.2780177385e-04
2.3450954007e+00    1.3577125803e-04
